Type,PSCommandName
Microsoft.PowerShell.Management.Activities.GetService,Microsoft.PowerShell.Management\Get-Service
Microsoft.PowerShell.Management.Activities.InvokeItem,Microsoft.PowerShell.Management\Invoke-Item
Microsoft.PowerShell.Management.Activities.JoinPath,Microsoft.PowerShell.Management\Join-Path
Microsoft.PowerShell.Management.Activities.LimitEventLog,Microsoft.PowerShell.Management\Limit-EventLog
Microsoft.PowerShell.Management.Activities.MoveItem,Microsoft.PowerShell.Management\Move-Item
Microsoft.PowerShell.Management.Activities.MoveItemProperty,Microsoft.PowerShell.Management\Move-ItemProperty
Microsoft.PowerShell.Management.Activities.NewEventLog,Microsoft.PowerShell.Management\New-EventLog
Microsoft.PowerShell.Management.Activities.NewItem,Microsoft.PowerShell.Management\New-Item
Microsoft.PowerShell.Management.Activities.NewItemProperty,Microsoft.PowerShell.Management\New-ItemProperty
Microsoft.PowerShell.Management.Activities.NewService,Microsoft.PowerShell.Management\New-Service
Microsoft.PowerShell.Management.Activities.NewWebServiceProxy,Microsoft.PowerShell.Management\New-WebServiceProxy
Microsoft.PowerShell.Management.Activities.RegisterWmiEvent,Microsoft.PowerShell.Management\Register-WmiEvent
Microsoft.PowerShell.Management.Activities.RemoveComputer,Microsoft.PowerShell.Management\Remove-Computer
Microsoft.PowerShell.Management.Activities.RemoveEventLog,Microsoft.PowerShell.Management\Remove-EventLog
Microsoft.PowerShell.Management.Activities.RemoveItem,Microsoft.PowerShell.Management\Remove-Item
Microsoft.PowerShell.Management.Activities.RemoveItemProperty,Microsoft.PowerShell.Management\Remove-ItemProperty
Microsoft.PowerShell.Management.Activities.RemoveWmiObject,Microsoft.PowerShell.Management\Remove-WmiObject
Microsoft.PowerShell.Management.Activities.RenameComputer,Microsoft.PowerShell.Management\Rename-Computer
Microsoft.PowerShell.Management.Activities.RenameItem,Microsoft.PowerShell.Management\Rename-Item
Microsoft.PowerShell.Management.Activities.RenameItemProperty,Microsoft.PowerShell.Management\Rename-ItemProperty
Microsoft.PowerShell.Management.Activities.ResetComputerMachinePassword,Microsoft.PowerShell.Management\Reset-ComputerMachinePassword
Microsoft.PowerShell.Management.Activities.ResolvePath,Microsoft.PowerShell.Management\Resolve-Path
Microsoft.PowerShell.Management.Activities.RestartService,Microsoft.PowerShell.Management\Restart-Service
Microsoft.PowerShell.Management.Activities.RestoreComputer,Microsoft.PowerShell.Management\Restore-Computer
Microsoft.PowerShell.Management.Activities.ResumeService,Microsoft.PowerShell.Management\Resume-Service
Microsoft.PowerShell.Management.Activities.SetContent,Microsoft.PowerShell.Management\Set-Content
Microsoft.PowerShell.Management.Activities.SetItem,Microsoft.PowerShell.Management\Set-Item
Microsoft.PowerShell.Management.Activities.SetItemProperty,Microsoft.PowerShell.Management\Set-ItemProperty
Microsoft.PowerShell.Management.Activities.SetService,Microsoft.PowerShell.Management\Set-Service
Microsoft.PowerShell.Management.Activities.SetWmiInstance,Microsoft.PowerShell.Management\Set-WmiInstance
Microsoft.PowerShell.Management.Activities.SplitPath,Microsoft.PowerShell.Management\Split-Path
Microsoft.PowerShell.Management.Activities.StartProcess,Microsoft.PowerShell.Management\Start-Process
Microsoft.PowerShell.Management.Activities.StartService,Microsoft.PowerShell.Management\Start-Service
Microsoft.PowerShell.Management.Activities.StopComputer,Microsoft.PowerShell.Management\Stop-Computer
Microsoft.PowerShell.Management.Activities.StopProcess,Microsoft.PowerShell.Management\Stop-Process
Microsoft.PowerShell.Management.Activities.StopService,Microsoft.PowerShell.Management\Stop-Service
Microsoft.PowerShell.Management.Activities.SuspendService,Microsoft.PowerShell.Management\Suspend-Service
Microsoft.PowerShell.Management.Activities.TestComputerSecureChannel,Microsoft.PowerShell.Management\Test-ComputerSecureChannel
Microsoft.PowerShell.Management.Activities.TestConnection,Microsoft.PowerShell.Management\Test-Connection
Microsoft.PowerShell.Management.Activities.TestPath,Microsoft.PowerShell.Management\Test-Path
Microsoft.PowerShell.Management.Activities.WaitProcess,Microsoft.PowerShell.Management\Wait-Process
Microsoft.PowerShell.Management.Activities.WriteEventLog,Microsoft.PowerShell.Management\Write-EventLog
Microsoft.PowerShell.Management.Activities.GetItemPropertyValue,Microsoft.PowerShell.Management\Get-ItemPropertyValue
Microsoft.PowerShell.Management.Activities.RestartComputer,Microsoft.PowerShell.Management\Restart-Computer
Assembly: Microsoft.PowerShell.Utility.Activities
Microsoft.PowerShell.Utility.Activities.AddMember,Microsoft.PowerShell.Utility\Add-Member
Microsoft.PowerShell.Utility.Activities.AddType,Microsoft.PowerShell.Utility\Add-Type
